2018-11-16 18:56:51,804 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:56:51,804 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:56:51,807 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:56:51.801358'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:56:51.801358')
2018-11-16 18:56:51,809 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:56:51,811 DEBUG (0.000) INSERT INTO `users` (`username`, `gender`, `id_card`, `age`, `address`, `remark`, `create_time`, `update_time`) VALUES ('xiaoqian', 1, '100108', 28, 'sh', 'shanghai', '2018-11-16 10:56:51.810859', '2018-11-16 10:56:51.810905'); args=['xiaoqian', 1, '100108', 28, 'sh', 'shanghai', '2018-11-16 10:56:51.810859', '2018-11-16 10:56:51.810905']
2018-11-16 18:56:51,856 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:56:51,857 DEBUG (0.001) SELECT VERSION(); args=None
2018-11-16 18:56:51,859 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:56:51.853602'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:56:51.853602')
2018-11-16 18:56:51,862 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:56:51,865 DEBUG (0.001) SELECT `users`.`id`, `users`.`username`, `users`.`gender`, `users`.`id_card`, `users`.`age`, `users`.`address`, `users`.`remark`, `users`.`create_time`, `users`.`update_time` FROM `users`; args=()
2018-11-16 18:56:53,752 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:56:53,752 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:56:53,755 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:56:53.749708'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:56:53.749708')
2018-11-16 18:56:53,758 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:56:53,761 DEBUG (0.002) SELECT `users`.`id`, `users`.`username`, `users`.`gender`, `users`.`id_card`, `users`.`age`, `users`.`address`, `users`.`remark`, `users`.`create_time`, `users`.`update_time` FROM `users` WHERE `users`.`id` = 29; args=(29,)
2018-11-16 18:57:00,246 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:57:00,246 DEBUG (0.000) SELECT VERSION(); args=None
2018-11-16 18:57:00,249 DEBUG (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'mqoi80xil8ldzfmsk15sk8zxagqxs435' AND `django_session`.`expire_date` > '2018-11-16 10:57:00.243700'); args=('mqoi80xil8ldzfmsk15sk8zxagqxs435', '2018-11-16 10:57:00.243700')
2018-11-16 18:57:00,251 DEBUG (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1; args=(1,)
2018-11-16 18:57:00,257 DEBUG (0.003) UPDATE `users` SET `id` = 29, `username` = 'xiaohong', `gender` = 0, `id_card` = '111111', `age` = 26, `address` = 'shanghai', `remark` = '上海' WHERE `users`.`id` = 29; args=(29, 'xiaohong', 0, '111111', 26, 'shanghai', '上海', 29)
2018-11-16 18:57:01,389 DEBUG (0.000) SELECT @@SQL_AUTO_IS_NULL; args=None
2018-11-16 18:57:01,389 DEBUG (0.000) SELECT VERSION(); args=None
